X,Y,record_id,street_num,street_dir,street_name,date_status,address_id,parcel_id,lon,lat,ObjectId
-83.23569,42.344572,VPO2023-01561,7297,,EVERGREEN,2023/09/30 04:00:00+00,161244,22097111-2,-83.23569,42.344572,959
-83.015623,42.378214,VPO2023-01562,7811,,GRATIOT,2023/09/30 04:00:00+00,349988,17000687-91,-83.015623,42.378214,960
-83.217424,42.395073,VPO2023-01563,14552,,SOUTHFIELD,2023/09/30 04:00:00+00,123743,22073281.,-83.217424,42.395073,961
-82.944851,42.391773,VPO2023-01564,3982,,BEACONSFIELD,2023/09/30 04:00:00+00,319202,21065623.,-82.944851,42.391773,962
-83.091819,42.324583,VPO2023-01567,2070,,VINEWOOD,2023/10/08 04:00:00+00,543039,14008787.,-83.091819,42.324583,963
-83.159857,42.257357,VPO2023-01568,3724,,BASSETT,2023/10/02 04:00:00+00,346986,20011334.,-83.159857,42.257357,964
-83.076874,42.331662,VPO2023-01569,2216,,MICHIGAN AKA 2411 14TH ST,2023/10/02 04:00:00+00,539255,10000290.002L,-83.076874,42.331662,965
-83.122558,42.369592,VPO2023-01570,9278,,PETOSKEY,2023/12/09 05:00:00+00,72408,14006957.,-83.122558,42.369592,966
-83.10007,42.353319,VPO2023-01571,5760,WEST,GRAND RIVER,2023/10/02 04:00:00+00,349523,12006117.,-83.10007,42.353319,967
-82.984251,42.425731,VPO2023-01572,13517,,GRATIOT,2023/10/16 04:00:00+00,537436,21029015.,-82.984251,42.425731,968
-83.023202,42.427356,VPO2023-01573,8031,,ORION,2023/10/02 04:00:00+00,264190,17004397.,-83.023202,42.427356,969
-82.991215,42.424226,VPO2023-01574,12930,,MCNICHOLS,2023/10/11 04:00:00+00,351083,21020030.,-82.991215,42.424226,970
-83.123064,42.409666,VPO2023-01581,15929,,INVERNESS,2023/10/13 04:00:00+00,402829,08009872.,-83.123064,42.409666,971
-82.941693,42.374271,VPO2023-01590,14635,EAST,JEFFERSON,2023/10/04 04:00:00+00,535437,21000606.,-82.941693,42.374271,972
-82.942184,42.37493,VPO2023-01591,1021,,MANISTIQUE,2023/10/04 04:00:00+00,536697,21061709.,-82.942184,42.37493,973
-82.985799,42.358198,VPO2023-01593,9141,EAST,JEFFERSON,2023/10/04 04:00:00+00,332797,19000034-37,-82.985799,42.358198,974
-82.943939,42.370162,VPO2023-01594,750,,LAKEWOOD,2023/10/04 04:00:00+00,332008,21054477.,-82.943939,42.370162,975
-83.222054,42.375244,VPO2023-01595,12061,,FAUST,2023/10/05 04:00:00+00,177305,22079199.,-83.222054,42.375244,976
-83.088451,42.319077,VPO2023-01597,1427,,VINEWOOD,2023/10/08 04:00:00+00,217830,14009228.,-83.088451,42.319077,977
-83.240528,42.356769,VPO2023-01599,8676,,FIELDING,2023/10/09 04:00:00+00,159255,22102302.,-83.240528,42.356769,978
-83.141726,42.418683,VPO2023-01600,17210,,STOEPEL,2023/10/06 04:00:00+00,13243,16019053.002,-83.141726,42.418683,979
-83.19017,42.351208,VPO2023-01601,14830,,TIREMAN,2023/10/06 04:00:00+00,351652,22001894-5,-83.19017,42.351208,980
-83.174331,42.433109,VPO2023-01602,19301,,SORRENTO,2023/10/06 04:00:00+00,26227,22023933.,-83.174331,42.433109,981
-83.200736,42.372749,VPO2023-01603,15734,,PLYMOUTH,2023/10/06 04:00:00+00,538075,22005923.,-83.200736,42.372749,982
-83.091389,42.323216,VPO2023-01604,1971,,VINEWOOD,2023/10/10 04:00:00+00,217327,14009195.,-83.091389,42.323216,983
-83.190756,42.439921,VPO2023-01605,20041,,HUBBELL,2023/10/08 04:00:00+00,24602,22039627-8,-83.190756,42.439921,984
-82.938918,42.419421,VPO2023-01606,10101,,CADIEUX,2023/10/08 04:00:00+00,294141,21075197-201,-82.938918,42.419421,985
-82.925544,42.409432,VPO2023-01608,5108,,NEFF,2023/10/08 04:00:00+00,506048,21076188.,-82.925544,42.409432,986
-82.988146,42.413895,VPO2023-01609,12308,,FLANDERS,2023/10/08 04:00:00+00,234955,21011371.,-82.988146,42.413895,987
-83.166564,42.381246,VPO2023-01610,12645,,MONTE VISTA,2023/10/09 04:00:00+00,212752,16045191.,-83.166564,42.381246,988
-83.08695,42.317925,VPO2023-01611,1116,,VINEWOOD,2023/10/12 04:00:00+00,542804,14008737.,-83.08695,42.317925,989
-83.066548,42.418385,VPO2023-01612,13917,,NEWBERN,2023/10/13 04:00:00+00,269771,09009496.,-83.066548,42.418385,990
-83.203227,42.339362,VPO2023-01613,6512,,ST MARYS,2023/10/12 04:00:00+00,197019,22058208.,-83.203227,42.339362,991
-83.016185,42.369758,VPO2023-01614,1006,,GRAND,2023/10/10 04:00:00+00,343688,15000398-9,-83.016185,42.369758,992
-83.151103,42.421639,VPO2023-01618,17560,,GREENLAWN,2023/10/12 04:00:00+00,11670,16029493.,-83.151103,42.421639,993
-83.187787,42.440989,VPO2023-01619,20120,,MARK TWAIN,2023/10/10 04:00:00+00,12998,22037012.,-83.187787,42.440989,994
-83.269378,42.400455,VPO2023-01620,23410,,FENKELL,2023/10/10 04:00:00+00,539240,22011121-4,-83.269378,42.400455,995
-83.145474,42.418711,VPO2023-01621,17205,,PRAIRIE,2023/10/12 04:00:00+00,13344,16023229.,-83.145474,42.418711,996
-83.185372,42.367542,VPO2023-01622,9631,,MARK TWAIN,2023/10/12 04:00:00+00,205800,22037500.,-83.185372,42.367542,997
-83.166652,42.354555,VPO2023-01624,8239,,MANOR,2023/10/12 04:00:00+00,187692,18018500.,-83.166652,42.354555,998
-82.951704,42.433171,VPO2023-01625,12897,,RIAD,2023/10/17 04:00:00+00,305204,21057654.,-82.951704,42.433171,999
-83.023168,42.39768,VPO2023-01626,9313,,VAN DYKE,2023/10/11 04:00:00+00,540640,15005589-90,-83.023168,42.39768,1000
-82.940763,42.429952,VPO2023-01628,19623,,MOROSS,2023/10/17 04:00:00+00,305402,21079249-50,-82.940763,42.429952,1001
-83.166603,42.444397,VPO2023-01630,20484,,MENDOTA,2023/10/17 04:00:00+00,18399,16043160.,-83.166603,42.444397,1002
-83.134975,42.369545,VPO2023-01631,9795,,CHENLOT,2023/10/23 04:00:00+00,72380,16005304.,-83.134975,42.369545,1003
-83.217564,42.41583,VPO2023-01633,17742,,MCNICHOLS,2023/10/20 04:00:00+00,390551,22013828.,-83.217564,42.41583,1004
-83.09523,42.359218,VPO2023-01634,6144,,16TH,2023/10/23 04:00:00+00,54618,10006207.,-83.09523,42.359218,1005
-83.097335,42.351589,VPO2023-01635,2901,,HUDSON,2023/10/13 04:00:00+00,539369,12000858.,-83.097335,42.351589,1006
-83.142368,42.421254,VPO2023-01637,17527,,STOEPEL,2023/10/13 04:00:00+00,14386,16019439.,-83.142368,42.421254,1007
-83.209478,42.362702,VPO2023-01638,9209,,GRANDMONT,2023/10/23 04:00:00+00,205293,22065163.,-83.209478,42.362702,1008
-83.257881,42.400042,VPO2023-01639,22047,,FENKELL,2023/11/01 04:00:00+00,413096,22010962.,-83.257881,42.400042,1009
